gene,raw_identifier,n_masked,neural_r,knn_r,delta_r,neural_mse,knn_mse,delta_mse
RNU6ATAC24P,RNU6ATAC24P,106,0.74602675,0.84628975,-0.100263,0.32478946447372437,0.19372454285621643,-0.13106492161750793
THBS3,THBS3,107,0.8177296,0.91800714,-0.10027754,0.43856391310691833,0.205921471118927,-0.23264244198799133
RTP1,RTP1,101,0.81933475,0.9196562,-0.10032147,0.25027379393577576,0.11776423454284668,-0.13250955939292908
PRH1,PRH1,102,0.6310288,0.731402,-0.10037321,0.9678753614425659,0.805173397064209,-0.16270196437835693
EMC2,EMC2,89,0.8191948,0.9197298,-0.100535035,0.25068899989128113,0.12029263377189636,-0.13039636611938477
TOX2,TOX2,108,0.7498375,0.85042787,-0.10059035,1.0390573740005493,0.7271292209625244,-0.3119281530380249
ARFRP1,ARFRP1,136,0.7329787,0.83357435,-0.10059565,0.5330332517623901,0.3454931974411011,-0.18754005432128906
MET,MET,110,0.52972233,0.6303616,-0.10063928,0.6803735494613647,0.5674312114715576,-0.11294233798980713
ZBTB18,ZBTB18,103,0.77821404,0.878874,-0.10065997,0.45711609721183777,0.266461044549942,-0.19065505266189575
MYT1,MYT1,113,0.8241783,0.92494607,-0.10076779,0.3217587172985077,0.14453737437725067,-0.17722134292125702
LRRC15,LRRC15,104,0.7939278,0.8947038,-0.10077602,0.45798736810684204,0.25101587176322937,-0.20697149634361267
snoU13,snoU13|ENSG00000238549.1,111,0.77318627,0.87399113,-0.100804865,0.502761960029602,0.34502071142196655,-0.1577412486076355
